entities;id;isLabeled;label;peer_label;score;text
"Silvester, AAAAAAlllttterrr, Schwedeee ...., Zack, Jahr 2014, Silvester Party Beine, Spielregeln jedes Jahr, sein;-, Die Listen Eintrittskarten, Infos, Mädels, Restjahr Tage";1;1;0;0.21875;0.22555607460431595;"Silvester 2.014 AAAAAAlllttterrr Schwedeee .... Watt rast Zeit ... Und Zack fast Jahr 2014 vorbei . 
   Und Jahr versuchen Hopfengarten Silvester Party Beine stellen . Spielregeln jedes Jahr . 
   20 € Mindestverzehr pro Person ( schaffen sein;- ) ) Mitbringbuffet beisteuern . 
   Einlass 19:30 Uhr 
   Die Listen Eintrittskarten liegen nächste Woche Hopfengarten bereit . 
   Für Infos einfach Traumhaften Mädels Laden fragen:- ) 
   Infos 0178 188 5153 
   In Sinne ... schönes Restjahr Tage .."
Live Concert, Trabant Echo, ECHO, HYPER, DUO, Cyrill Lim, HYPER, FUZZ, Trabant Echo Hyper, Trabant, Echos, Hyper, Cyrill, Lim Intensität, Trabant Echo, Tobias Glenck, Guitar & Bass, Martin Lorenz, Drums & Electronics, Gilles Grimaître, Keyboard & Julien Mégroz, Drums, Cyrill Lim, Electronics   , www.trabant-echo.net;2;1;1;1.0;0.08974991980198023;"Live Concert : Trabant Echo TRABANT ECHO / HYPER DUO feat . Cyrill Lim : HYPER FUZZ 

   Trabant Echo Hyper Fuzz kreuzen experimentelle Popmusik , Neue Musik Rock . Mit Musik bringen Ensembles Durchlässigkeit Grenzen populärer avantgardistischer Ästhetik Geltung , Performance elektronisch groovy , anarchisch verspielt . 
   Trabant Echos orchestrale Soundtexturen vereinen Noise , psychodelischen Kraut experimentellen Bass . Hyper Duo bringt Cyrill Lim Intensität Jazz-Rock Formation Kontext auskomponierter Musik . 

   Trabant Echo : Tobias Glenck , Guitar & Bass / Martin Lorenz , Drums & Electronics 
   Hyper Duo : Gilles Grimaître , Keyboard & Julien Mégroz , Drums ; Gast : Cyrill Lim , Electronics 

   www.trabant-echo.net 
   http://www.julienmegroz.ch/hyperduo/ 

   Links : 
   https://youtu.be/vrIR-YwoC_s 
   https://youtu.be/KlJv7-niLdk"
Jazz Sein, Jan-Phillip, Meyer Quintett, Jan-Phillip Meyer, Lüneburger, Jazzszene Aufsehen, Giorgi Kiknadze, Béla Meinberg, Anna-Lena Schnabel, Eigenkompositionen, Gabriel Coburger, Sax   Anna-Lena Schnabel, Sax   Giorgi Kiknadze, Béla Meinberg, Jan-Phillip Meyer;3;1;1;1.0;0.31234586609850457;"Jazz Sein . Jan-Phillip Meyer Quintett Die Band Schlagzeugers Jan-Phillip Meyer spielt vielversprechendes Konzert Sein . 

   Für Projekt 22-jährige Lüneburger Traumbesetzung Tat umgesetzt , Größen Jazzszene Aufsehen erregenden , jungen Musikern zusammensetzt . 

   Mit Giorgi Kiknadze Kontrabass Béla Meinberg Klavier besteht eingespielte Rhythmusgruppe , kräftiges Fundament für Sound Saxofone Anna-Lena Schnabel Gabriel Coburger bietet . 

   Es Eigenkompositionen , Arrangements Stücken unterschiedlichsten Musikrichtungen gespielt . Eins garantiert : Es ordentlich swingen ! 

   Gabriel Coburger - Sax 

   Anna-Lena Schnabel - Sax 

   Giorgi Kiknadze - Kontrabass 

   Béla Meinberg - Klavier 

   Jan-Phillip Meyer - Schlagzeug"
LINE UP, LEGENDS, LEIGH, JOHNSON, BLACKEGO, BRB ALLSTARS, THUGZ AKA, ILL PATRON &, STREZZKIDZ, PARTYKILLAZ, W4, NOGGE VS, BALBOA, STREZZKIDZ, MD, BAHRE, EFN, LAUTSPECHERBLUTEN, MORBID, HUNNEL, STREZZKIDZ, SHIZOFAMILY, DREIACHTER, SHIZOFAMILY, TRIEBTÄTER, EFN, SHIZOFAMILY, TEKKFREAKZ, TERROX, PARTYKILLAZ, AFTERHOUR, SUICIDE, EFN LIEBLINGSMENSCH, ILL PATRON &, FEIERN, DIESES MAL, BERLIN, START;4;1;1;0.96875;0.7023269571843955;"BUNKER BDAY ATTACK @ BERLIN ☭ ☭ ☭ ☞ AM 18.12 HEIßT ES BUNKER BDAY ATTACK @ BERLIN & ☭ HIER DAS ☞ 

   ♝ LINE UP ♝ LIVE TEKK ♝ HARDTECHNO ♝     TECHNO ♝ 

   * LEGENDS OF TECHNO 
   FABRIXX & PSLANG VS . LEIGH JOHNSON 
   ( BLACKEGO - BRB ALLSTARS ) 

   * THUGZ AKA 
   ILL PATRON & KANNADISS VS HAIMKIND 
   ( STREZZKIDZ , PARTYKILLAZ , W4 ) 

   * NOGGE VS . BALBOA 
   ( STREZZKIDZ , MD ) 

   * EFFEXX VS . BAHRE 
   ( EFN - LAUTSPECHERBLUTEN ) 

   ☢ * MORBID 
   ( RFT ) 

   * HUNNEL 
   ( STREZZKIDZ , SHIZOFAMILY ) 

   * DREIACHTER 
   ( SHIZOFAMILY ) 

   * VS . TRIEBTÄTER 
   ( EFN - SHIZOFAMILY ) 

   * BABBAX 
   ( TEKKFREAKZ ) 

   * RENSO TERROX 
   ( PARTYKILLAZ ) 

   * AFTERHOUR TECHNO BY CREATIVE SUICIDE 
   ( EFN LIEBLINGSMENSCH ) 

   ☞ BUNKER BDAY ATTACK @ BERLIN ☭ ☭ ☭ 

   ☞ ILL PATRON & GROSSA FEIERN IHREN BDAY DIESES MAL GEMEINSAM IN EINEM BUNKER IN BERLIN & IHR SEIT ALLE RECHT HERZLICH DAZU EINGELADEN <3 

   START 23 UHR 
   P 18 
   12 € 
   ★"
THE TUNES, EINTRITT;5;1;1;1.0;0.0;"THE TUNES live Lehmitz - Mi. 28.05.14 Aktuelle Songs Klassiker Bereichen Alternative/ Rock / Pop Party LIVE Tresen Welt bedeutet ! 

   RAUCHERKNEIPE / EINTRITT FREI"
Novemberblues, Novemberblues, Rosinen   Kapern(vegan, Reis Tofu;6;1;0;0.0625;0.4087978034244658;"Kiezmenü "" Kakao Novemberblues "" Mittwoch Novemberblues geniessen Kakao Novemberblues ... 

   scharfes Auberginengemüse Kakao , Rosinen 
   Kapern(vegan ) 
   + + + 
   Chili sin carne Reis Tofu 
   ( vegan ) 
   + + + 
   double choc 
   Quinoa-Schoko-Brownies 
   Schokoladensauce 
   ( versuche vegan , nix versprechen )"
Drachenfest Drachen;7;1;0;0.0;0.38656230587567697;Drachenfest Drachen prämiert .
Annett Gröschner, Magdeburger, Annett Gröschner, Magdeburg, Weise Geburtsstadt, Moskauer Eis, Werder, Schwebende Lasten, Kranfahrerin Magdeburger Schwermaschinenbau, Magdeburger, Magdeburger;8;1;0;0.0;0.5987786786893254;"Annett Gröschner liest "" Magdeburger Geschichten "" Annett Gröschner , Magdeburg geboren aufgewachsen , trotz Umzugs 31 Jahren Berlin vielfältige Weise Geburtsstadt verbunden . Ihr Roman , Moskauer Eis ( 2000 ) , spielt Werder , nächsten , "" Schwebende Lasten "" , Kranfahrerin Magdeburger Schwermaschinenbau Hauptprotagonistin . Das Reportagebuch "" Mit Linie 4 Welt "" ( 2012 ) Ausgangspunkt Magdeburger Straßenbahnlinie 4 . Im Strudelhof liest Magdeburger Geschichten ."
;9;1;0;0.0;0.0;""" Sülverhochtied """
Erlesenes, Sportslounge;10;1;0;0.0;0.015734412766976402;"Advents-Buffet Zusätzlich Abendkarte bieten donnerstags reichhaltiges Themenbuffet . 

   Spezialitäten Erlesenes unterschiedlichen Regionen stehen unserem Themenbuffet bereit . 

   Bitte beachten Sie aktuellen Aushänge @Beckmann`s Sportslounge ."
Workshop, SCHREIBWERKSTATT, LIEBE, KUNST, DUNKELBLAUEN, TRÄNEN, Schublade, Suchen Tipps, Volk, Maul, Martin Luther, Workshop Richtige, Luther “, Herbert Somplatzki, Rolf Mietke, Schrumpfstories Kunst, Liebe, Seidenbeutel 1, Minden, Stock, Anschluss, Minden Road to Slam;11;0;-1;0.0;0.5136835104741299;"Workshop : Das Leben Texte SCHREIBWERKSTATT ZWISCHEN LIEBE , KUNST UND DUNKELBLAUEN TRÄNEN 

   Sie 10 90 Jahren alt ? Haben Schublade voll selbstgeschriebener Gedichte ? Suchen Tipps Tricks Schreiben Texte gekonnten Vortrag ? Sind schreibende Seniorin junger Performance-Poet , Gleichgesinnten austauschen ? Wollen „ Volk aufs Maul schaun “ einst Martin Luther - imposant vortragen lernen ? Sie lieben Macht Worte ? Dann Workshop Richtige Sie . Zwei kompetente Referenten üben Ihnen Reihe „ Schreiben Reden Luther “ . 

   Der Kogge-Autor Herbert Somplatzki Kabarettist Rolf Mietke demonstrieren anhand Schrumpfstories Kunst , kurzweilige schwarzhumorige Aphorismen spielerisch formulieren . Zwischen Liebe , Kunst dunkelblauen Tränen . 

   Ort : Kulturzentrum BÜZ , Seidenbeutel 1 , 32423 Minden , Bürogebäude 1 . Stock . 
   Dieser Workshop abgeschlossen . Die Teilnahme kostenlos . 
   Im Anschluss Sie Gelegenheit Auftritt „ Minden Road to Slam “ . 
   Anmeldung : Tel. 0178 7617637 ."
English Language, First Adorable Creatures of the year, Bar Jar for night of people making the funny, Branzell and Ian Buckley continues to do comedy, Come and help us greet them with laugh !   ;12;0;-1;0.0;0.9062746948901146;"Adorable Creatures - English Language Comedy Show First Adorable Creatures of the year ! 

   Join us our new venue Bar Jar for night of people making the funny . 

   Adorable Creatures is hosted by the always adorable Zackarias Branzell and Ian Buckley continues to do comedy . 

   10 comedians get 5 minutes to perform new material , tune up old jokes , or maybe even try stand up for the first time . Come and help us greet them with laugh ! 

   The show begins at 9pm sharp and the seating is limited arrive early . 

   Performers ! Sign up on the wall below - line up is normally announced on Wednesday ."
   Dinner Show, Halloween, Dracula`s Dinner, Carat Hotel   Monschau, Dinner Showacts, Dracula Dinner Show, Bewohner, Menü, Biss, Gang-Menü, Nr, Hotel, Internet,   ;13;0;-1;0.59375;0.7399559283874331;"Dracula`s     Dinner Show ( Halloween ) Dracula`s Dinner Show Carat Hotel 

   Monschau . Die "" Dinner Showacts "" präsentieren Donnerstag 31.10.2012 ( Halloween , Feiertag ) Dracula Dinner Show . 
   Lernen Sie unheimlichen Bewohner Schlosses kennen genießen Sie Gang - Menü "" gruseligen "" Art . 
   Erleben Sie schaurig schönen Abend voller unerwarteter Überraschungen . 
   Igor leibeigene Draculas begrüßt Sie persönlich Tür . 
   Begegnen Sie Kreaturen Nacht hautnah . 
   Aber Vorsicht ! ! ! Geben Sie Ihren Hals . 
   Mit giftigen Mischung Humor , Gesang Schauspiel erleben Sie unvergessene Show Biss . 
   Karten incl. 4 Gang-Menü 59,-€. Vorverkauf Karten Telefon Nr 02472 - 860 Carat Hotel . 

   Weitere Infos Internet 
   www.carathotel.de 


   Anmeldung erforderlich"
