text;question;label
"Book Launch Book Launch
Saturday 19 March 2016, 11am

Kunstverein München invites you to join former-director Bart van der Heide as he presents *k.m Exhibitions / Ausstellungen 2010 – 2015*, a new bilingual publication compiling images and texts from the 20 exhibitions van der Heide programmed and facsimiles of the corresponding printed matter Studio Manuel Raeder designed.

––

Book Launch
Samstag, 19. März 2016, 11 Uhr

Der Kunstverein München lädt Sie zusammen mit dem ehemaligen Direktor Bart van der Heide zur Präsentation von *k.m Exhibitions / Ausstellungen 2010 – 2015* ein. Die zweisprachige Publikation umfasst Bilder und Texte von seinen 20 Ausstellungen und Faksimile des dazugehörigen Printmaterials, das vom Studio Manuel Raeder designt wurde.

http://www.kunstverein-muenchen.de/index.php?id=11,12,1495,1511";isMusic;0
"Champagner to'n Fröhstück Niederdeutsche Komödie von Michael Wempner

Der ehemalige Fabrikant Valentin Müller ist aus dem Seniorenheim geflüchtet. Sein Sohn hatte ihn dort untergebracht. Bei einer Wohnungsbesichtigung trifft er auf die Rentnerin Marie Stratmann. Da beide die Wohnung unbedingt haben wollen, schlägt der Hauswirt eine gemeinsame Nutzung vor. Trotz anfänglicher Reibereien verbünden sich die beiden schließlich gegen ihre Kinder, denn auch Marie liegt im Streit mit ihrer Tochter. Als Valentin mit dem Gesetz in Konflikt gerät, spitzt sich die Situation zu.
Mit Barbara Schwaner-Heitmann, Carola von Sturmfeder, Torben Andresen, Holger Heitmann, Dirk Magnussen, Wolf-Dieter Pencik, Thore Petersen u.a.

Eintrittskarten:
Bücher Rüffer, Holm 19/21, 24937 Flensburg
Tel. 0461-140 40 60

Buchhandlung Hilary, Geheimrat Dr. Schaedel Str. 20, 24955 Harrislee
Tel. 0461-700 22 33";isMusic;0
"Jazz im Turm mit Seven Strings-Lady Sings PM – VOCAL JAZZ AUS HAMBURG

Vor allem Gesangsfans dürften bei dem Hamburger Ensemble  „Seven Strings – Lady Sings“  voll auf ihre Kosten kommen.
„Zuhörer, die unsere Musik mögen, mögen auch Gruppen wie Manhattan Transfer oder andere mehrstimmige Vocal-Swing-Gruppen in der Tradition der Singers Unlimited“  heißt es  in Abwandlung der Verkaufsempfehlungen mancher Online-Shops.  Lena Geue (Voc), Sörin Bergmann (Voc),  Christian Suter (Git.) und Michael Huhn (Git. und Voc) präsentieren Kompositionen des Great American Songbook und Bearbeitungen moderner Stilrichtungen, die den Zuhörer nach New York, Chicago oder Rio de Janeiro entführen.

Neben Auftritten auf diversen Festivals (Elbjazz Hamburg, Jazztime Hildesheim, Jazzfestival Idstein, Summerjazz Pinneberg) waren die vier in diversen Spielstätten zwischen Berlin, Frankfurt und Kiel zu Gast.

„Ausnahmejazz von überraschender Spannweite“ (Norddeutsche Rundschau)

Die Konzerte beginnen um 11:30 Uhr.

Der Eintrittspreis 10,00 € berechtigt zugleich zu einer Führung durch den Wasserturm durch Schüler/innen der benachbarten Hauptschule Stadtmitte um 10:30 Uhr.

Es gibt kleine Snacks und Getränke.

Karten im Vorverkauf oder an der Tageskasse.

Reservierungen sind per Telefon oder Mail möglich.";isMusic;1
11.10.2015 Conni - Das Musical Stadthalle Arnstadt ab 17,45 €/erm. ab 13,95 €;isMusic;1
"FC Bayern München - FC Viktoria Pilsen Block 128/313 

Abfahrt Bus: 17:45 Uhr";isMusic;0
"Sleepless Nights // 21.05 // Winterberg Sleepless Nights

21.05.2016, Winterberg , Marktplatz

Eintritt frei!

Wir rocken den Marktplatz in Winteberg ab 19.00 Uhr. Live Musik, Bier und gute Laune erwarten euch.Weitere Infos folgen. 

Folgt uns auf:

Fb: https://www.facebook.com/sleeplessnightswinterberg
YouTube:https://www.youtube.com/channel/UC4C3eDpFHmAzsiuSOTQ5FoQ
Instagram: https://www.instagram.com/sleepless_nights_wtbg/
Soundcloud: https://soundcloud.com/sleepless-nights-7";isMusic;1
"Die Fisherman’s Friend Blobtour in Wachtendonk Fisherman’s Friend holt die Trendsportart des Sommers an Deinen Badesee: 10 Wochen lang ist unser Luftkissen für Euch in ganz Deutschland unterwegs und legt dabei an 8 verschiedenen Orten an.

Das ""Blobbing"" selbst funktionert denkbar einfach: Kaum hat der ""Blobber"" seinen Platz am hinteren Ende des Sprungkissens eingenommen, springt der ""Jumper"" von einem Sprungturm aus auf die andere Seite des Blobs und katapultiert den Partner in einem hohen Bogen ins Wassser. Welche Flughöhe und -geschwindigkeit der Blobber so erreicht, hängt vom Körpergewicht des Jumpers sowie der Höhe des Turms ab. 

Eine Extra-Dosis Adrenalin ist in jedem Fall garantiert.
Zeig uns Deinen freshsten Stunt und spring mit Fisherman’s Friend in den Sommer.";isMusic;0
"Christine Prayon - Die Diplom-Animatöse Kartenim VVK 13,50/18 €

Die Diplom-Animatöse ist keine gemeine Animatöse. Sie ist eine Animatöse mit Diplom. Und das gibt es selten. Gehen Sie bei der Wahl Ihrer Abendveranstaltung auf Nummer Sicher: Entscheiden Sie sich für Künstler mit Gütesiegel. Christine Prayon hat sich das Ulknudel-Diplom auf die Netzhaut tätowieren lassen. So können Sie Qualität schon von weitem erkennen. Dieser Abend passt in keine Schublade, denn er ist zwei Stunden lang und mindestens genauso breit. Wenn Sie darüber jetzt herzlich lachen konnten, sind Sie hier genau richtig. Es wird noch mehr schlechte Witze geben. Außerdem wird Frau Prayon einige Präsidenten imitieren, schön singen, den ein oder anderen bewegenden Moment zerstören und möglichst viel Haut zeigen. Sie wird sich auch heute mal wieder nicht festlegen, ob es sich hier um Kabarett, Comedy oder eine Heizdeckenverkaufsveranstaltung handelt. Hautsache absurd und ohne Chansons. DIE DIPLOM-ANIMATÖSE ist mutig und unkonventionell, denn - Zitat Prayon - ""Ich muß halt auch bleiben, wo ich gucke"". DIE DIPLOM-ANIMATÖSE. Von Redakteuren gefürchtet, von Therapeuten empfohlen. Including Nr. 1 Hit-Single ""Hallo""

https://www.youtube.com/watch?v=VyX-eN0KY54";isMusic;1
"17. Mai 2014 The German Boss im MANITU Im Jahre 1998 fand Sänger Carly V. in Kalifornien Musiker, die ihn auf die richtige Seite des amerikanischen Traumes zogen. Sie brachten ihn dazu BRUCE SPRINGSTEEN zu spielen. Das begeisterte Publikum in den Clubs von San Francisco nannte ihn nunmehr ""The German Boss"".
Heimgekommen nach Europa formierte er sich mit seiner alten, seit vielen Jahren aufeinander eingespielten Band neu zusammen und sie spielten, was bis dahin kaum eine Band gewagt hatte - die Musik von Bruce ""The Boss"" Springsteen!";isMusic;1
"Taktloss in Magdeburg Veranstaltung: Rap Attack #2
https://www.facebook.com/events/254236348103242/

Wo: 
Magdeburg
nicht allzu weit weg befinden sich die schönen städte Halle
(Saale), Leipzig, Braunschweig, Hannover, Berlin und haste nich jesehn

 Achtung:
 (Tickets sind auf 200 limitiert)
 VVK über www.rapattack.de
 Ticketreservierung ist auch möglich
 Anzahl der Tickets + Mailadresse an: info@rapattack.de";isMusic;1
Veteranenabend Spielen, Malen, Basteln, Unfug quasseln auch nach den regulären Öffnungszeiten.;isMusic;0
Yellowbelly Gig Das haben wir erst heute bekommen, weil die gebuchte Band  ganz plötzlich in riesigen Ameisen verwandelt wurde, und kann es deshalb nicht.  Rock n'Roll huh?  Komisch.;isMusic;1
"Denison Witmer (USA) Denison Witmer (USA) Konzert. Singer/ Songwriter.
Der in Philadelphia ansässige, 38jährige Denison Witmer blickt auf eine lange musikalische Karriere zurück. Bereits 1998 nahm er sein erstes Album auf, es folgten elf weitere Titel, neun davon waren Langspieler.
Sein neustes, auf dem Record Label Asthmatic Kitty erschienenes Album - benannt nach dem Musiker selbst - fährt mit großen Namen auf: Sufjan Stevens und William Fitzsimmons haben zu dem von Devin Greenwood produzierten, 2013 erschienen Werk beigetragen. Wir freuen uns auf einen prächtigen Singer/ Songwriter-Abend!
www.denisonwitmer.com
Danach: Hasenrodeo. Plattendrehen. Die Bar macht die Musik.";isMusic;1
"FISH MEETS T-BONE von Donnerstag bis Samstsg.... 
FRISCHFISCH FRISCH eingetroffen :-) : Seezunge, Seeteufel, Skrei (Wanderer), Dorade, Jakobsmuscheln, Lachs.... ODER
ein leckeres T-BONE (ca. 700 gramm mit Knochen) für zwei Personen in einem leckerem Menü oder für einen Fleischliebhaber ganz alleine :-)";isMusic;0
Das goldene Schlüsselchen oder Pinocchios Abenteuer Die Theatergruppe Globus unter der Regie von Irina Salb präsentiert ein tück von Carlo Collodi nach einer Geschichte von Aleksai Tolstoi;isMusic;0
"40 Jahre SJR Weihnachtsmarkt Weihnachtsmarkt der Jugendverbände, Schulen, sozialen Organisationen und des Stadtjugendrings Kempten.

Samstag, 28. November 2015 | 11.00 bis 17.00 Uhr
Kempten | August-Fischer-Platz (vor Forum Allgäu)

Die Einnahmen kommen der Kemptener Jugendarbeit und verschiedenen sozialen Projekten zugute. Der Stadtjugendring Kempten veranstaltet den Weihnachtsmarkt jährlich seit 1975.

Wir sind 2015 mit einem eigenen Marktstand dabei: Amnesty International Kempten | Bonito Allgäu | Bulgarienhilfe e.V. Kempten | Christliche Pfadfinderschaft Kreuzträger | Dominikus-Ringeisen-Werk Kempten | Elternbeirat Tom-Mutters-Schule | Freundeskreis der Kindernothilfe Kempten | Gewerkschaftsjugend im DGB | Greenpeace Kempten | Haus International | Johanniter-Jugend | Jugendzentren Stadtjugendring | Körperbehinderte Allgäu |  Lebenshilfe Förderverein Kempten e.V. | Mucoviszidose Selbsthilfegruppe Allgäu | Nadelhaus | Naturfreundejugend | Philipp-Neri-Schule + HPT | Praxisklasse Robert-Schuman-Mittelschule |  SJD-Die Falken | SMV Städtische Realschule | Sprach- und Kulturpatenschaft Ikarus Thingers | Trachtenverein Edelweiß Kempten

Wir sorgen für das leibliche Wohl der Besucherinnen und Besucher: Siebenbürgische Jugend

Wir machen den Aufbau: Jugendfeuerwehr Kempten und THW-Jugend Kempten

Der Weihnachtsmarkt der Jugendverbände, Schulen, sozialen Organisationen und des Stadtjugendrings Kempten wird in diesem Jahr 40! Unsere kleine Broschüre ruft die vier Jahrzehnte seit 1975 nochmals in Erinnerung.

http://www.stadtjugendring-kempten.de/download/erinnerung-40-jahre-weihnachtsmarkt.pdf";isMusic;0
